4128507936.5079365,64,1
2500923076.923077,64,2
3078059171.597633,64,4
3257987473.9039664,64,6
2382558778.625954,64,8
1887032648.125756,64,10
1866717703.3492825,64,12
1663727078.891258,64,14
1331549488.0546074,64,16
1332686592.65585,64,18
1176904977.3755658,64,20
3020518861.8697853,192,1
4674620461.317736,192,2
6514416487.234697,192,4
8900343769.699516,192,6
10720510250.569477,192,8
10546996015.936255,192,10
10964725860.730003,192,12
10481746102.449888,192,14
12777295927.601809,192,16
9052518914.297928,192,18
8410789515.488483,192,20
3106566016.2370033,320,1
5472409467.257673,320,2
9887216681.776974,320,4
13580131442.40747,320,6
17257213186.813187,320,8
14997387118.95485,320,10
17330343427.209324,320,12
17858515283.842793,320,14
20312582781.456955,320,16
15367214654.767494,320,18
15925750446.211264,320,20
2977968711.144513,448,1
5445315872.438463,448,2
10704372802.574339,448,4
15258664099.442194,448,6
19987027668.57058,448,8
15042715497.990177,448,10
17292075471.698112,448,12
19106195355.433434,448,14
21637833366.793816,448,16
18808119503.001537,448,18
18581140610.992344,448,20
2925880167.948757,576,1
5523361624.576934,576,2
10707753322.740444,576,4
15709383868.579105,576,6
19965537260.369465,576,8
14894269511.291393,576,10
17269476438.8435,576,12
19652494733.591793,576,14
21601661726.439644,576,16
18166606323.935177,576,18
18521098181.230297,576,20
2904181414.5839663,704,1
5373196972.304342,704,2
10521949965.295591,704,4
15489376099.51133,704,6
19542589642.029743,704,8
15771977804.583838,704,10
16829804075.52513,704,12
18918386109.60391,704,14
19632823454.33387,704,16
18603946108.902702,704,18
18043618185.111397,704,20
2817162135.639593,832,1
5264217305.8103695,832,2
10283401381.043552,832,4
15321335090.171026,832,6
18740025156.686653,832,8
12923586999.719337,832,10
13692324761.519615,832,12
10847561261.060349,832,14
11407308249.516922,832,16
11898341559.546738,832,18
12354553973.949408,832,20
2780586602.9385176,960,1
5127972094.884352,960,2
10241937177.626093,960,4
14979886782.331268,960,6
16263230299.53776,960,8
14626998593.995533,960,10
16717030688.764257,960,12
17275330079.479553,960,14
16029690412.672325,960,16
15835354020.731173,960,18
15695103314.647459,960,20
2767457498.860617,1088,1
4800357979.207375,1088,2
9613884746.84285,1088,4
14093167561.334301,1088,6
17160703319.750986,1088,8
12906967720.589342,1088,10
13649533200.795227,1088,12
13030516046.204432,1088,14
12397642436.149313,1088,16
11895724492.263243,1088,18
13112653044.594292,1088,20
2322424309.6692605,1216,1
4401580988.019553,1216,2
8402986446.240808,1216,4
12085494284.407866,1216,6
15470925167.745277,1216,8
11616997663.423035,1216,10
13101046505.525265,1216,12
11542293881.22947,1216,14
9045880353.351616,1216,16
8888052221.38703,1216,18
9279189752.12386,1216,20
2182623090.975291,1344,1
3885090020.3474708,1344,2
7244244999.9801,1344,4
10630540450.208473,1344,6
12810104679.366325,1344,8
10610322506.742178,1344,10
11703057960.414534,1344,12
10482847603.95646,1344,14
8650750773.530293,1344,16
8423979880.856441,1344,18
8820762984.098137,1344,20
1860114366.7008214,1472,1
3536888722.5774,1472,2
6748389122.451787,1472,4
9832232751.673437,1472,6
12412842251.015285,1472,8
9810521187.157757,1472,10
10606214932.555677,1472,12
10241312358.771011,1472,14
8251703968.384739,1472,16
8106945943.483499,1472,18
8269746085.705542,1472,20
1792556594.7063212,1600,1
3425174818.545334,1600,2
6615617641.237746,1600,4
9533231617.881018,1600,6
12369646627.845037,1600,8
9421574695.532326,1600,10
10909943514.867311,1600,12
9903960887.765171,1600,14
7883507357.80158,1600,16
7855138401.528293,1600,18
8072300161.5884695,1600,20
1605184234.2637641,1728,1
2919571838.8514047,1728,2
5677149491.592516,1728,4
8410591667.97786,1728,6
9952467031.15423,1728,8
8036420019.510888,1728,10
9410137000.04591,1728,12
8717976757.863995,1728,14
7638184292.396742,1728,16
7392219914.173054,1728,18
7404365997.604267,1728,20
1691218319.7591333,1856,1
3067690078.417975,1856,2
5800142422.151168,1856,4
8204573884.334863,1856,6
11007321583.654966,1856,8
8643783488.924196,1856,10
9566152422.8776,1856,12
9202026469.513414,1856,14
7444339773.406233,1856,16
7217462324.147235,1856,18
7337654879.10741,1856,20
1271595507.1039112,1984,1
2464751508.3556213,1984,2
4679941626.934026,1984,4
6940956443.390811,1984,6
8819020134.950897,1984,8
7099624699.126592,1984,10
8387407632.022035,1984,12
7929066142.546333,1984,14
7228471637.218092,1984,16
6894436966.419532,1984,18
6859935689.781437,1984,20
