653378512.2243654,128,1
1604423963.1336405,128,2
2820378037.80378,128,4
3661630148.9921126,128,8
4466771204.561654,128,16
4197508372.404555,128,32
3591335243.5530086,128,64
2817841726.6187053,128,128
652580255.0128934,256,1
1965426140.0316923,256,2
2990168993.124796,256,4
3712600716.898858,256,8
4163904509.2838197,256,16
4021241114.3131604,256,32
3782916183.447549,256,64
3517741176.4705887,256,128
655269790.9785962,512,1
1896897926.0782223,512,2
3032799930.6374946,512,4
3891570501.2237945,512,8
4297098320.728112,512,16
4179693458.6431003,512,32
3678141708.9562473,512,64
3327817865.9474845,512,128
646002769.283307,1024,1
1888236925.4074738,1024,2
3011392248.569551,1024,4
3857382002.293113,1024,8
4254806643.7648797,1024,16
4237003836.086587,1024,32
3774659696.470547,1024,64
3340505412.8251896,1024,128
549076028.3614091,2048,1
1486223863.1014464,2048,2
2372484144.002679,2048,4
2907212839.733473,2048,8
3370604086.6404514,2048,16
4229064604.600253,2048,32
3766073954.3808775,2048,64
3382245228.973436,2048,128
