738909090.9090909,64
594392523.364486,80
621778876.7220063,96
624400000.0,112
687497120.2896166,128
748018099.5475113,144
746198830.4093567,160
735677380.0663103,176
664044398.4573418,192
734698420.4926753,208
732125738.5343561,224
712378001.5491867,240
710835795.5510273,256
734255332.3707346,272
721743341.4043584,288
723657885.9103692,304
728334817.4532502,320
724342774.0911438,336
712406451.4018385,352
728496336.9025053,368
732637732.2312336,384
731145159.5376582,400
729042857.577386,416
737461878.356907,432
732825065.2741514,448
725782831.790825,464
727208578.2555177,480
724466626.6499468,496
736460660.5188142,512
723300478.0735407,528
722180786.2928573,544
724575426.019339,560
723446589.3978258,576
735647058.8235295,592
734182078.5343224,608
721566012.893178,624
723504008.5072886,640
721164374.5086634,656
721955545.3974059,672
719688349.7153194,688
732863884.5799755,704
720336501.8791112,720
717703679.1514751,736
717328512.6164036,752
720438861.5953134,768
713817928.4911762,784
730531544.2201588,800
729820198.6085173,816
716724068.0059745,832
726571613.0209069,848
716529547.7055134,864
714041005.5926248,880
712045151.9450902,896
685448652.6952199,912
715762318.8691512,928
726107251.9026285,944
712911575.2820828,960
711406607.5740432,976
720878868.3444085,992
714998524.511788,1008
716587395.7595038,1024
